id;status;api_mark;date_of_delivery;statusCode;success;set_order_id
540060;delivered;from_BetaPost_API;2016-10-06;200;1;540060
550735;injob;from_BetaPost_API;200;1;550735
560032;injob;from_BetaPost_API;200;1;560032
560764;injob;from_BetaPost_API;200;1;560764
561648;injob;from_BetaPost_API;200;1;561648
559499;injob;from_BetaPost_API;200;1;559499
553356;injob;from_BetaPost_API;200;1;553356
564796;injob;from_BetaPost_API;200;1;564796
568890;injob;from_BetaPost_API;200;1;568890
569246;injob;from_BetaPost_API;200;1;569246
568952;delivered;from_BetaPost_API;2016-10-10;200;1;568952
572151;injob;from_BetaPost_API;200;1;572151
573173;injob;from_BetaPost_API;200;1;573173
573152;injob;from_BetaPost_API;200;1;573152
573364;delivered;from_BetaPost_API;2016-10-10;200;1;573364
573705;injob;from_BetaPost_API;200;1;573705
574826;delivered;from_BetaPost_API;2016-10-10;200;1;574826
574397;delivered;from_BetaPost_API;2016-10-10;200;1;574397
575152;delivered;from_BetaPost_API;2016-10-10;200;1;575152
575529;injob;from_BetaPost_API;200;1;575529
576354;delivered;from_BetaPost_API;2016-10-10;200;1;576354
