id;status;api_mark;date_of_arrival;statusCode;success;set_order_id
470204;parcel-on-a-place;from_BetaPost_API;2016-07-28;200;1;470204
470883;parcel-on-a-place;from_BetaPost_API;2016-07-28;200;1;470883
470639;parcel-on-a-place;from_BetaPost_API;2016-07-27;200;1;470639
470590;parcel-on-a-place;from_BetaPost_API;2016-07-27;200;1;470590
472786;parcel-on-a-place;from_BetaPost_API;2016-07-27;200;1;472786
471857;parcel-on-a-place;from_BetaPost_API;2016-07-28;200;1;471857
471807;parcel-on-a-place;from_BetaPost_API;2016-07-27;200;1;471807
472656;parcel-on-a-place;from_BetaPost_API;2016-07-28;200;1;472656
472411;parcel-on-a-place;from_BetaPost_API;2016-07-28;200;1;472411
471932;parcel-on-a-place;from_BetaPost_API;2016-07-28;200;1;471932
473157;parcel-on-a-place;from_BetaPost_API;2016-07-27;200;1;473157
480922;delivered;from_BetaPost_API;2016-07-28;200;1;480922
480577;injob;from_BetaPost_API;200;1;480577
480804;delivered;from_BetaPost_API;2016-07-28;200;1;480804
480289;injob;from_BetaPost_API;200;1;480289
480721;delivered;from_BetaPost_API;2016-07-28;200;1;480721
480256;injob;from_BetaPost_API;200;1;480256
480720;delivered;from_BetaPost_API;2016-07-28;200;1;480720
479773;injob;from_BetaPost_API;200;1;479773
480306;delivered;from_BetaPost_API;2016-07-28;200;1;480306
462734;injob;from_BetaPost_API;200;1;462734
480048;delivered;from_BetaPost_API;2016-07-28;200;1;480048
480020;delivered;from_BetaPost_API;2016-07-28;200;1;480020
474775;delivered;from_BetaPost_API;2016-07-28;200;1;474775
481266;injob;from_BetaPost_API;200;1;481266
481154;injob;from_BetaPost_API;200;1;481154
481018;injob;from_BetaPost_API;200;1;481018
480744;injob;from_BetaPost_API;200;1;480744
480964;delivered;from_BetaPost_API;2016-07-28;200;1;480964
469245;parcel-on-a-place;from_BetaPost_API;2016-07-22;200;1;469245
