id;status;api_mark;statusCode;success;set_order_id
461952;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;461952
462961;delivered;from_BetaPost_API;2016-07-18;200;1;462961
461797;parcel-on-a-place;from_BetaPost_API;2016-07-16;200;1;461797
461874;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;461874
462604;delivered;from_BetaPost_API;2016-07-18;200;1;462604
461495;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;461495
461862;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;461862
461665;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;461665
462585;delivered;from_BetaPost_API;2016-07-18;200;1;462585
461380;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;461380
461659;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;461659
463269;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;463269
460430;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;460430
462473;delivered;from_BetaPost_API;2016-07-18;200;1;462473
461353;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;461353
461626;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;461626
463137;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;463137
463305;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;463305
461255;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;461255
462812;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;462812
461739;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;461739
464341;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;464341
462203;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;462203
461713;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;461713
464183;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;464183
461979;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;461979
464147;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;464147
464095;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;464095
464094;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;464094
463880;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;463880
463925;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;463925
463991;delivered;from_BetaPost_API;2016-07-18;200;1;463991
463853;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;463853
463814;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;463814
463889;delivered;from_BetaPost_API;2016-07-19;200;1;463889
