id;status;api_mark;date_of_delivery;statusCode;success;set_order_id
515121;delivered;from_BetaPost_API;2016-08-23;200;1;515121
515519;parcel-on-a-place;from_BetaPost_API;2016-08-23;200;1;515519
514864;delivered;from_BetaPost_API;2016-08-23;200;1;514864
514380;parcel-on-a-place;from_BetaPost_API;2016-08-23;200;1;514380
514365;delivered;from_BetaPost_API;2016-08-23;200;1;514365
513875;parcel-on-a-place;from_BetaPost_API;2016-08-23;200;1;513875
513154;delivered;from_BetaPost_API;2016-08-23;200;1;513154
501019;parcel-on-a-place;from_BetaPost_API;2016-08-23;200;1;501019
515288;delivered;from_BetaPost_API;2016-08-23;200;1;515288
515906;delivered;from_BetaPost_API;2016-08-23;200;1;515906
514306;delivered;from_BetaPost_API;2016-08-23;200;1;514306
514262;delivered;from_BetaPost_API;2016-08-23;200;1;514262
513800;parcel-on-a-place;from_BetaPost_API;2016-08-23;200;1;513800
516027;delivered;from_BetaPost_API;2016-08-23;200;1;516027
513112;parcel-on-a-place;from_BetaPost_API;2016-08-23;200;1;513112
514439;delivered;from_BetaPost_API;2016-08-23;200;1;514439
514761;parcel-on-a-place;from_BetaPost_API;2016-08-23;200;1;514761
513383;delivered;from_BetaPost_API;2016-08-23;200;1;513383
515603;parcel-on-a-place;from_BetaPost_API;2016-08-23;200;1;515603
512965;delivered;from_BetaPost_API;2016-08-23;200;1;512965
515511;parcel-on-a-place;from_BetaPost_API;2016-08-23;200;1;515511
515170;parcel-on-a-place;from_BetaPost_API;2016-08-23;200;1;515170
513830;parcel-on-a-place;from_BetaPost_API;2016-08-23;200;1;513830
514053;delivered;from_BetaPost_API;2016-08-23;200;1;514053
513320;parcel-on-a-place;from_BetaPost_API;2016-08-23;200;1;513320
515049;parcel-on-a-place;from_BetaPost_API;2016-08-23;200;1;515049
515863;delivered;from_BetaPost_API;2016-08-23;200;1;515863
513775;parcel-on-a-place;from_BetaPost_API;2016-08-23;200;1;513775
512933;delivered;from_BetaPost_API;2016-08-23;200;1;512933
514668;parcel-on-a-place;from_BetaPost_API;2016-08-23;200;1;514668
514897;delivered;from_BetaPost_API;2016-08-23;200;1;514897
512925;parcel-on-a-place;from_BetaPost_API;2016-08-23;200;1;512925
515837;delivered;from_BetaPost_API;2016-08-23;200;1;515837
513619;parcel-on-a-place;from_BetaPost_API;2016-08-23;200;1;513619
