order_id;order_site;mapping_order_status_from;mapping_order_status_to;date_time;order_number;order_status_name;shipping_order_order_id;state;order_customFields_nomer_otpravleniya
596387;joint-cream;sent;parcel-on-a-place;"2016-11-03 17:30:00";596387A;Отправлен;596387-596387A_577;"Прибыло в город назначения";CB016568505RU
598771;psorias-cream;sent;parcel-on-a-place;"2016-11-03 09:53:00";598771A;Отправлен;598771-598771A_577;"Прибыло в город назначения";CB016568430RU
598321;wrinkles-cream;sent;parcel-on-a-place;"2016-11-03 11:22:00";598321A;Отправлен;598321-598321A_577;"Прибыло в город назначения";CB016568491RU
599842;vari-cream-com;sent;parcel-on-a-place;"2016-11-03 08:27:00";599842A;Отправлен;599842-599842A_577;"Прибыло в город назначения";CB016568390RU
598357;vari-cream-com;sent;parcel-on-a-place;"2016-11-03 09:11:00";598357A;Отправлен;598357-598357A_577;"Прибыло в город назначения";CB016568465RU
595327;joint-cream;sent;delivered;"2016-11-03 14:55:00";595327A;Отправлен;595327-595327A_577;Вручение;CB016568488RU
597149;psorias-cream;parcel-on-a-place;delivered;"2016-11-03 15:04:00";597149A;"Товар в точке получения";597149-597149A_577;Вручение;CB016568409RU
602416;joint-cream;sent;parcel-on-a-place;"2016-11-03 09:46:00";602416A;Отправлен;602416-602416A_582;"Прибыло в город назначения";CB016568655RU
602413;joint-cream;sent;parcel-on-a-place;"2016-11-03 09:23:00";602413A;Отправлен;602413-602413A_582;"Прибыло в город назначения";CB016568545RU
600431;vari-cream-com;sent;parcel-on-a-place;"2016-11-03 08:55:00";600431A;Отправлен;600431-600431A_582;"Прибыло в город назначения";CB016568559RU
603217;psorias-cream;sent;parcel-on-a-place;"2016-11-03 09:58:00";603217A;Отправлен;603217-603217A_582;"Прибыло в город назначения";CB016568602RU
611515;joint-cream;parcel-on-a-place;delivered;"2016-11-03 17:27:52";611515A;"Товар в точке получения";611515-611515A_596;Вручение;32024659
612220;gemor-cream;sent;delivered;"2016-11-03 14:15:18";612220A;Отправлен;612220-612220A_599;Вручение;32024668
612934;joint-cream;sent;parcel-on-a-place;"2016-11-03 15:08:15";612934A;Отправлен;612934-612934A_599;Невручение;32024673
611919;wrinkles-cream;parcel-on-a-place;delivered;"2016-11-03 16:50:58";611919A;"Товар в точке получения";611919-611919A_599;Вручение;32024666
611930;joint-cream;sent;delivered;"2016-11-03 15:06:28";611930A;Отправлен;611930-611930A_599;Вручение;32024667
612508;joint-cream;sent;parcel-on-a-place;"2016-11-04 10:00:00";612508A;Отправлен;612508-612508A_599;"Прибыло в город назначения";32024671
