id;status;api_mark;date_of_arrival;statusCode;success;set_order_id
451131;parcel-on-a-place;from_BetaPost_API;2016-07-12;200;1;451131
450792;parcel-on-a-place;from_BetaPost_API;2016-07-12;200;1;450792
450331;parcel-on-a-place;from_BetaPost_API;2016-07-12;200;1;450331
450164;parcel-on-a-place;from_BetaPost_API;2016-07-12;200;1;450164
450640;delivered;from_BetaPost_API;2016-07-12;200;1;450640
452049;parcel-on-a-place;from_BetaPost_API;2016-07-12;200;1;452049
451601;parcel-on-a-place;from_BetaPost_API;2016-07-12;200;1;451601
452384;parcel-on-a-place;from_BetaPost_API;2016-07-12;200;1;452384
453343;parcel-on-a-place;from_BetaPost_API;2016-07-12;200;1;453343
452562;parcel-on-a-place;from_BetaPost_API;2016-07-12;200;1;452562
452538;parcel-on-a-place;from_BetaPost_API;2016-07-12;200;1;452538
454682;parcel-on-a-place;from_BetaPost_API;2016-07-12;200;1;454682
454094;parcel-on-a-place;from_BetaPost_API;2016-07-12;200;1;454094
456706;parcel-on-a-place;from_BetaPost_API;2016-07-12;200;1;456706
456530;parcel-on-a-place;from_BetaPost_API;2016-07-12;200;1;456530
456236;parcel-on-a-place;from_BetaPost_API;2016-07-12;200;1;456236
457204;parcel-on-a-place;from_BetaPost_API;2016-07-12;200;1;457204
461541;delivered;from_BetaPost_API;2016-07-13;200;1;461541
462781;parcel-on-a-place;from_BetaPost_API;2016-07-13;200;1;462781
463783;injob;from_BetaPost_API;200;1;463783
460883;parcel-on-a-place;from_BetaPost_API;2016-07-13;200;1;460883
460599;parcel-on-a-place;from_BetaPost_API;2016-07-13;200;1;460599
