id;status;api_mark;date_of_delivery;statusCode;success;set_order_id
474984;delivered;from_BetaPost_API;2016-08-26;200;1;474984
496682;delivered;from_BetaPost_API;2016-08-26;200;1;496682
498613;delivered;from_BetaPost_API;2016-08-26;200;1;498613
499923;delivered;from_BetaPost_API;2016-08-26;200;1;499923
499220;delivered;from_BetaPost_API;2016-08-26;200;1;499220
498895;delivered;from_BetaPost_API;2016-08-26;200;1;498895
502955;delivered;from_BetaPost_API;2016-08-27;200;1;502955
501683;delivered;from_BetaPost_API;2016-08-27;200;1;501683
506798;parcel-on-a-place;from_BetaPost_API;2016-08-26;200;1;506798
504553;parcel-on-a-place;from_BetaPost_API;2016-08-26;200;1;504553
504482;parcel-on-a-place;from_BetaPost_API;2016-08-26;200;1;504482
507003;delivered;from_BetaPost_API;2016-08-26;200;1;507003
503436;parcel-on-a-place;from_BetaPost_API;2016-08-26;200;1;503436
506083;delivered;from_BetaPost_API;2016-08-26;200;1;506083
506628;parcel-on-a-place;from_BetaPost_API;2016-08-26;200;1;506628
506577;delivered;from_BetaPost_API;2016-08-27;200;1;506577
507493;parcel-on-a-place;from_BetaPost_API;2016-08-26;200;1;507493
503643;delivered;from_BetaPost_API;2016-08-26;200;1;503643
506382;parcel-on-a-place;from_BetaPost_API;2016-08-26;200;1;506382
503855;parcel-on-a-place;from_BetaPost_API;2016-08-26;200;1;503855
505335;parcel-on-a-place;from_BetaPost_API;2016-08-26;200;1;505335
504797;parcel-on-a-place;from_BetaPost_API;2016-08-26;200;1;504797
503414;delivered;from_BetaPost_API;2016-08-26;200;1;503414
510007;parcel-on-a-place;from_BetaPost_API;2016-08-26;200;1;510007
509118;parcel-on-a-place;from_BetaPost_API;2016-08-26;200;1;509118
510385;delivered;from_BetaPost_API;2016-08-27;200;1;510385
511198;parcel-on-a-place;from_BetaPost_API;2016-08-26;200;1;511198
511090;delivered;from_BetaPost_API;2016-08-26;200;1;511090
