id;status;api_mark;date_of_arrival;statusCode;success;set_order_id
550501;parcel-on-a-place;from_BetaPost_API;2016-09-22;200;1;550501
556190;delivered;from_BetaPost_API;2016-09-22;200;1;556190
554925;delivered;from_BetaPost_API;2016-09-22;200;1;554925
555419;parcel-on-a-place;from_BetaPost_API;2016-09-22;200;1;555419
555160;parcel-on-a-place;from_BetaPost_API;2016-09-22;200;1;555160
555246;parcel-on-a-place;from_BetaPost_API;2016-09-22;200;1;555246
555565;parcel-on-a-place;from_BetaPost_API;2016-09-22;200;1;555565
555161;parcel-on-a-place;from_BetaPost_API;2016-09-22;200;1;555161
553502;parcel-on-a-place;from_BetaPost_API;2016-09-22;200;1;553502
555341;parcel-on-a-place;from_BetaPost_API;2016-09-22;200;1;555341
555243;delivered;from_BetaPost_API;2016-09-22;200;1;555243
555544;delivered;from_BetaPost_API;2016-09-22;200;1;555544
555636;delivered;from_BetaPost_API;2016-09-22;200;1;555636
555084;delivered;from_BetaPost_API;2016-09-22;200;1;555084
554250;delivered;from_BetaPost_API;2016-09-22;200;1;554250
556014;delivered;from_BetaPost_API;2016-09-22;200;1;556014
555540;delivered;from_BetaPost_API;2016-09-22;200;1;555540
