order_id;order_site;mapping_order_status_from;mapping_order_status_to;date_time;order_number;order_status_name;shipping_order_order_id;state;order_customFields_nomer_otpravleniya
650611;joint-cream;parcel-on-a-place;delivered;"2016-12-15 18:29:00";650611A;"Товар в точке получения";650611-650611A_661;Вручение;CB016570518RU
652801;fungus-cream;sent;parcel-on-a-place;"2016-12-15 17:57:00";652801A;Отправлен;652801-652801A_666;"Прибыло в город назначения";CB016570654RU
651648;wrinkles-cream;sent;parcel-on-a-place;"2016-12-15 18:57:00";651648A;Отправлен;651648-651648A_666;"Прибыло в город назначения";CB016570597RU
655082;wrinkles-cream;sent;parcel-on-a-place;"2016-12-15 18:43:00";655082A;Отправлен;655082-655082A_669;"Прибыло в город назначения";CB016570756RU
654450;vari-cream-com;sent;parcel-on-a-place;"2016-12-15 17:39:00";654450A;Отправлен;654450-654450A_669;"Прибыло в город назначения";CB016570773RU
660784;wrinkles-cream;sent;parcel-on-a-place;"2016-12-15 17:54:00";660784A;Отправлен;660784-660784A_673;"Прибыло в город назначения";CB016570915RU
664434;joint-cream;sent;delivered;"2016-12-15 18:00:00";664434A;Отправлен;664434-664434A_682;Вручение;32024867
