id;status;api_mark;date_of_delivery;statusCode;success;set_order_id
481651;delivered;from_BetaPost_API;2016-08-16;200;1;481651
480651;delivered;from_BetaPost_API;2016-08-16;200;1;480651
483554;delivered;from_BetaPost_API;2016-08-16;200;1;483554
483548;delivered;from_BetaPost_API;2016-08-16;200;1;483548
486160;delivered;from_BetaPost_API;2016-08-16;200;1;486160
487351;delivered;from_BetaPost_API;2016-08-16;200;1;487351
484839;delivered;from_BetaPost_API;2016-08-16;200;1;484839
489071;delivered;from_BetaPost_API;2016-08-16;200;1;489071
491067;delivered;from_BetaPost_API;2016-08-16;200;1;491067
486443;delivered;from_BetaPost_API;2016-08-16;200;1;486443
491693;delivered;from_BetaPost_API;2016-08-16;200;1;491693
492240;parcel-on-a-place;from_BetaPost_API;2016-08-16;200;1;492240
492716;delivered;from_BetaPost_API;2016-08-16;200;1;492716
501553;delivered;from_BetaPost_API;2016-08-16;200;1;501553
503750;delivered;from_BetaPost_API;2016-08-16;200;1;503750
498195;delivered;from_BetaPost_API;2016-08-16;200;1;498195
503794;delivered;from_BetaPost_API;2016-08-16;200;1;503794
505162;parcel-on-a-place;from_BetaPost_API;2016-08-16;200;1;505162
