order_id;order_site;mapping_order_status_from;mapping_order_status_to;date_time;order_number;order_status_name;shipping_order_order_id;state;order_customFields_nomer_otpravleniya
430879;joint-cream;parcel-on-a-place;delivered;"2016-07-08 11:56:00";430879A;"Товар в точке получения";430879-430879A_273;Вручение;CB014106284RU
449278;joint-cream;sent;parcel-on-a-place;"2016-07-07 16:42:00";449278A;Отправлен;449278-449278A_297;"Прибыло в город назначения";CB016540842RU
449236;joint-cream;sent;parcel-on-a-place;"2016-07-07 17:05:00";449236A;Отправлен;449236-449236A_297;"Прибыло в город назначения";CB016539787RU
449118;gemor-cream;sent;parcel-on-a-place;"2016-07-08 09:21:00";449118A;Отправлен;449118-449118A_297;"Прибыло в город назначения";CB016539495RU
448885;joint-cream;sent;parcel-on-a-place;"2016-07-07 18:12:00";448885A;Отправлен;448885-448885A_297;"Прибыло в город назначения";CB016539795RU
447395;joint-cream;sent;parcel-on-a-place;"2016-07-08 09:08:00";447395A;Отправлен;447395-447395A_297;"Прибыло в город назначения";CB016540312RU
446648;vari-cream-com;sent;parcel-on-a-place;"2016-07-07 17:50:00";446648A;Отправлен;446648-446648A_297;"Прибыло в город назначения";CB016540215RU
449741;joint-cream;sent;delivered;"2016-07-07 18:16:00";449741A;Отправлен;449741-449741A_300;Вручение;CB016541091RU
447605;vari-cream-com;sent;delivered;"2016-07-07 12:24:00";447605A;Отправлен;447605-447605A_300;Вручение;CB016541162RU
449833;joint-cream;sent;parcel-on-a-place;"2016-07-07 17:06:00";449833A;Отправлен;449833-449833A_300;"Прибыло в город назначения";CB016539359RU
