id;status;api_mark;date_of_arrival;statusCode;success;set_order_id
520913;parcel-on-a-place;from_BetaPost_API;2016-09-08;200;1;520913
517037;parcel-on-a-place;from_BetaPost_API;2016-09-07;200;1;517037
518762;parcel-on-a-place;from_BetaPost_API;2016-09-07;200;1;518762
518727;parcel-on-a-place;from_BetaPost_API;2016-09-07;200;1;518727
521176;parcel-on-a-place;from_BetaPost_API;2016-09-08;200;1;521176
521120;parcel-on-a-place;from_BetaPost_API;2016-09-07;200;1;521120
523495;parcel-on-a-place;from_BetaPost_API;2016-09-07;200;1;523495
527376;parcel-on-a-place;from_BetaPost_API;2016-09-07;200;1;527376
526287;parcel-on-a-place;from_BetaPost_API;2016-09-07;200;1;526287
525261;parcel-on-a-place;from_BetaPost_API;2016-09-07;200;1;525261
523515;parcel-on-a-place;from_BetaPost_API;2016-09-07;200;1;523515
524716;parcel-on-a-place;from_BetaPost_API;2016-09-07;200;1;524716
524640;parcel-on-a-place;from_BetaPost_API;2016-09-07;200;1;524640
527358;parcel-on-a-place;from_BetaPost_API;2016-09-07;200;1;527358
535021;delivered;from_BetaPost_API;2016-09-08;200;1;535021
537557;delivered;from_BetaPost_API;2016-09-08;200;1;537557
536898;parcel-on-a-place;from_BetaPost_API;2016-09-08;200;1;536898
535986;delivered;from_BetaPost_API;2016-09-08;200;1;535986
538719;delivered;from_BetaPost_API;2016-09-08;200;1;538719
538394;delivered;from_BetaPost_API;2016-09-08;200;1;538394
538784;delivered;from_BetaPost_API;2016-09-08;200;1;538784
538245;delivered;from_BetaPost_API;2016-09-08;200;1;538245
538063;parcel-on-a-place;from_BetaPost_API;2016-09-08;200;1;538063
538449;parcel-on-a-place;from_BetaPost_API;2016-09-08;200;1;538449
538366;delivered;from_BetaPost_API;2016-09-08;200;1;538366
538953;delivered;from_BetaPost_API;2016-09-08;200;1;538953
