order_id;order_site;mapping_order_status_from;mapping_order_status_to;date_time;order_number;order_status_name;shipping_order_order_id;state;order_customFields_nomer_otpravleniya
663023;prosta-cream;parcel-on-a-place;injob;"2016-12-26 15:26:26";663023A;"Товар в точке получения";663023-663023A_679;Возврат;32024865
673087;cream-masthopaty;parcel-on-a-place;injob;"2016-12-26 15:26:26";673087A;"Товар в точке получения";673087-673087A_688;Возврат;32024872
680553;joint-cream;parcel-on-a-place;injob;"2016-12-26 15:26:26";680553A;"Товар в точке получения";680553-680553A_696;Возврат;32024878
