order_id;order_site;mapping_order_status_from;mapping_order_status_to;date_time;order_number;order_status_name;shipping_order_order_id;state;order_customFields_nomer_otpravleniya
653356;gemor-cream;parcel-on-a-place;delivered;"2016-12-27 15:31:00";653356A;"Товар в точке получения";653356-653356A_666;Вручение;CB016570610RU
666480;joint-cream;parcel-on-a-place;delivered;"2016-12-27 16:40:00";666480A;"Товар в точке получения";666480-666480A_681;Вручение;CB016571283RU
664924;vari-cream-com;parcel-on-a-place;delivered;"2016-12-27 16:16:00";664924A;"Товар в точке получения";664924-664924A_686;Вручение;CB016571323RU
