order_id;order_site;mapping_order_status_from;mapping_order_status_to;date_time;order_number;order_status_name;shipping_order_order_id;state;order_customFields_nomer_otpravleniya
493383;psorias-cream;parcel-on-a-place;delivered;"2016-08-22 14:56:00";493383A;"Товар в точке получения";493383-493383A_403;Вручение;CB016556900RU
496962;joint-cream;parcel-on-a-place;delivered;"2016-08-22 18:35:00";496962A;"Товар в точке получения";496962-496962A_403;Вручение;CB016557905RU
493354;cellulite-cream;parcel-on-a-place;delivered;"2016-08-22 15:07:00";493354A;"Товар в точке получения";493354-493354A_415;Вручение;CB016558741RU
510056;joint-cream;sent;delivered;"2016-08-22 23:00:00";510056A;Отправлен;510056-510056A_431;Вручение;32023045
511104;wrinkles-cream;sent;delivered;"2016-08-22 23:00:00";511104A;Отправлен;511104-511104A_434;Вручение;32023084
512515;cream-masthopaty;sent;delivered;"2016-08-22 23:00:00";512515A;Отправлен;512515-512515A_437;Вручение;32023128
512896;joint-cream;parcel-on-a-place;delivered;"2016-08-23 12:10:16";512896A;"Товар в точке получения";512896-512896A_437;Вручение;32023139
512886;joint-cream;sent;delivered;"2016-08-23 12:10:49";512886A;Отправлен;512886-512886A_437;Вручение;32023138
512707;joint-cream;parcel-on-a-place;delivered;"2016-08-23 13:49:53";512707A;"Товар в точке получения";512707-512707A_437;Вручение;32023131
512874;cellulite-cream;parcel-on-a-place;delivered;"2016-08-23 13:00:40";512874A;"Товар в точке получения";512874-512874A_437;Вручение;32023137
512724;joint-cream;sent;delivered;"2016-08-23 13:57:45";512724A;Отправлен;512724-512724A_437;Вручение;32023133
515934;joint-cream;sent;delivered;"2016-08-23 14:06:27";515934A;Отправлен;515934-515934A_440;Вручение;32023234
515600;vari-cream-com;sent;parcel-on-a-place;"2016-08-23 14:58:17";515600A;Отправлен;515600-515600A_440;Невручение;32023221
515163;vari-cream-com;sent;delivered;"2016-08-23 12:40:29";515163A;Отправлен;515163-515163A_440;Вручение;32023212
513396;vari-cream-com;sent;parcel-on-a-place;"2016-08-23 12:39:30";513396A;Отправлен;513396-513396A_440;Невручение;32023165
512899;joint-cream;sent;delivered;"2016-08-23 12:33:55";512899A;Отправлен;512899-512899A_440;Вручение;32023146
515951;joint-cream;sent;parcel-on-a-place;"2016-08-23 14:21:20";515951A;Отправлен;515951-515951A_440;Невручение;32023235
514892;joint-cream;sent;parcel-on-a-place;"2016-08-23 12:15:17";514892A;Отправлен;514892-514892A_440;Невручение;32023203
515915;psorias-cream;sent;delivered;"2016-08-23 14:07:12";515915A;Отправлен;515915-515915A_440;Вручение;32023232
513491;vari-cream-com;sent;delivered;"2016-08-23 13:44:43";513491A;Отправлен;513491-513491A_440;Вручение;32023169
514939;joint-cream;sent;parcel-on-a-place;"2016-08-23 14:21:49";514939A;Отправлен;514939-514939A_440;Невручение;32023205
513010;joint-cream;sent;delivered;"2016-08-23 14:07:50";513010A;Отправлен;513010-513010A_440;Вручение;32023154
515434;vari-cream-com;sent;parcel-on-a-place;"2016-08-23 14:27:45";515434A;Отправлен;515434-515434A_440;Невручение;32023216
515769;joint-cream;sent;delivered;"2016-08-23 14:39:28";515769A;Отправлен;515769-515769A_440;Вручение;32023225
513232;gemor-cream;sent;parcel-on-a-place;"2016-08-23 12:20:54";513232A;Отправлен;513232-513232A_440;Невручение;32023161
515034;vari-cream-com;sent;parcel-on-a-place;"2016-08-23 13:14:24";515034A;Отправлен;515034-515034A_440;Невручение;32023208
516013;joint-cream;sent;delivered;"2016-08-23 14:01:45";516013A;Отправлен;516013-516013A_440;Вручение;32023236
514075;joint-cream;sent;delivered;"2016-08-23 13:43:53";514075A;Отправлен;514075-514075A_440;Вручение;32023183
513723;psorias-cream;sent;delivered;"2016-08-23 14:14:04";513723A;Отправлен;513723-513723A_440;Вручение;32023174
516036;vari-cream-com;sent;delivered;"2016-08-23 14:37:19";516036C;Отправлен;516036-516036C_440;Вручение;32023238
515324;gemor-cream;sent;delivered;"2016-08-23 13:08:31";515324A;Отправлен;515324-515324A_440;Вручение;32023215
514158;joint-cream;sent;delivered;"2016-08-23 13:56:31";514158A;Отправлен;514158-514158A_440;Вручение;32023186
513503;gemor-cream;sent;delivered;"2016-08-23 14:01:38";513503A;Отправлен;513503-513503A_440;Вручение;32023170
514078;joint-cream;sent;delivered;"2016-08-23 12:08:01";514078A;Отправлен;514078-514078A_440;Вручение;32023184
512937;joint-cream;sent;delivered;"2016-08-23 12:09:42";512937A;Отправлен;512937-512937A_440;Вручение;32023149
514960;joint-cream;sent;delivered;"2016-08-23 12:00:07";514960A;Отправлен;514960-514960A_440;Вручение;32023207
