order_id;order_site;mapping_order_status_from;mapping_order_status_to;date_time;order_number;order_status_name;shipping_order_order_id;state;order_customFields_nomer_otpravleniya
538774;vari-cream-com;sent;delivered;"2016-09-08 10:26:19";538774C;Отправлен;538774-538774C_478;Вручение;32023850
521521;vari-cream-com;parcel-on-a-place;delivered;"2016-09-08 09:58:40";521521A;"Товар в точке получения";521521-521521A_454;Вручение;32023392
537646;vari-cream-com;sent;delivered;"2016-09-08 10:10:42";537646A;Отправлен;537646-537646A_475;Вручение;32023816
538055;joint-cream;sent;delivered;"2016-09-08 10:01:19";538055A;Отправлен;538055-538055A_478;Вручение;32023830
534132;vari-cream-com;sent;delivered;"2016-09-08 09:29:04";534132A;Отправлен;534132-534132A_478;Вручение;32023822
538116;joint-cream;sent;delivered;"2016-09-08 10:47:21";538116A;Отправлен;538116-538116A_478;Вручение;32023835
538106;joint-cream;sent;delivered;"2016-09-08 09:29:05";538106A;Отправлен;538106-538106A_478;Вручение;32023833
538850;vari-cream-com;sent;delivered;"2016-09-08 10:35:09";538850C;Отправлен;538850-538850C_478;Вручение;32023852
537077;vari-cream-com;sent;delivered;"2016-09-08 10:52:16";537077A;Отправлен;537077-537077A_478;Вручение;32023825
537798;gemor-cream;sent;delivered;"2016-09-08 10:38:36";537798A;Отправлен;537798-537798A_478;Вручение;32023827
538873;joint-cream;sent;delivered;"2016-09-08 08:57:37";538873A;Отправлен;538873-538873A_478;Вручение;32023854
538387;fungus-cream;sent;delivered;"2016-09-08 09:52:56";538387A;Отправлен;538387-538387A_478;Вручение;32023843
538157;joint-cream;sent;parcel-on-a-place;"2016-09-08 10:00:01";538157C;Отправлен;538157-538157C_478;Невручение;32023836
538924;joint-cream;sent;delivered;"2016-09-08 10:44:34";538924A;Отправлен;538924-538924A_478;Вручение;32023857
538109;gemor-cream;sent;parcel-on-a-place;"2016-09-08 10:08:27";538109A;Отправлен;538109-538109A_478;Невручение;32023834
538625;wrinkles-cream;sent;delivered;"2016-09-08 10:36:07";538625A;Отправлен;538625-538625A_478;Вручение;32023848
535782;vari-cream-com;sent;parcel-on-a-place;"2016-09-08 10:28:58";535782A;Отправлен;535782-535782A_478;Невручение;32023823
493127;gemor-cream;sent;parcel-on-a-place;"2016-09-08 11:22:19";493127A;Отправлен;493127-493127A_478;Невручение;32023820
538784;vari-cream-com;sent;parcel-on-a-place;"2016-09-08 11:57:48";538784C;Отправлен;538784-538784C_478;Невручение;32023851
538719;joint-cream;sent;parcel-on-a-place;"2016-09-08 11:57:36";538719A;Отправлен;538719-538719A_478;Невручение;32023849
538909;vari-cream-com;sent;parcel-on-a-place;"2016-09-08 11:57:01";538909A;Отправлен;538909-538909A_478;Невручение;32023856
538245;joint-cream;sent;parcel-on-a-place;"2016-09-08 10:32:40";538245A;Отправлен;538245-538245A_478;Невручение;32023840
