id;status;api_mark;date_of_arrival;statusCode;success;set_order_id
461790;parcel-on-a-place;from_BetaPost_API;2016-07-20;200;1;461790
460469;parcel-on-a-place;from_BetaPost_API;2016-07-20;200;1;460469
461017;injob;from_BetaPost_API;200;1;461017
461967;delivered;from_BetaPost_API;2016-07-19;200;1;461967
463201;parcel-on-a-place;from_BetaPost_API;2016-07-19;200;1;463201
462993;parcel-on-a-place;from_BetaPost_API;2016-07-19;200;1;462993
461793;parcel-on-a-place;from_BetaPost_API;2016-07-19;200;1;461793
465437;parcel-on-a-place;from_BetaPost_API;2016-07-19;200;1;465437
465436;parcel-on-a-place;from_BetaPost_API;2016-07-20;200;1;465436
465085;parcel-on-a-place;from_BetaPost_API;2016-07-19;200;1;465085
465070;parcel-on-a-place;from_BetaPost_API;2016-07-19;200;1;465070
464491;parcel-on-a-place;from_BetaPost_API;2016-07-19;200;1;464491
468766;delivered;from_BetaPost_API;2016-07-20;200;1;468766
470136;injob;from_BetaPost_API;200;1;470136
469699;injob;from_BetaPost_API;200;1;469699
468723;injob;from_BetaPost_API;200;1;468723
468564;injob;from_BetaPost_API;200;1;468564
471392;delivered;from_BetaPost_API;2016-07-20;200;1;471392
470420;delivered;from_BetaPost_API;2016-07-20;200;1;470420
470290;delivered;from_BetaPost_API;2016-07-20;200;1;470290
470157;delivered;from_BetaPost_API;2016-07-20;200;1;470157
469636;delivered;from_BetaPost_API;2016-07-20;200;1;469636
469075;delivered;from_BetaPost_API;2016-07-20;200;1;469075
468856;delivered;from_BetaPost_API;2016-07-20;200;1;468856
471957;delivered;from_BetaPost_API;2016-07-20;200;1;471957
472052;injob;from_BetaPost_API;200;1;472052
471617;delivered;from_BetaPost_API;2016-07-20;200;1;471617
471902;injob;from_BetaPost_API;200;1;471902
471585;injob;from_BetaPost_API;200;1;471585
471537;injob;from_BetaPost_API;200;1;471537
471185;injob;from_BetaPost_API;200;1;471185
468757;injob;from_BetaPost_API;200;1;468757
467902;injob;from_BetaPost_API;200;1;467902
471262;delivered;from_BetaPost_API;2016-07-20;200;1;471262
472247;injob;from_BetaPost_API;200;1;472247
472226;delivered;from_BetaPost_API;2016-07-20;200;1;472226
472141;injob;from_BetaPost_API;200;1;472141
