id;status;api_mark;statusCode;success;set_order_id
510088;injob;from_BetaPost_API;200;1;510088
511165;injob;from_BetaPost_API;200;1;511165
510918;injob;from_BetaPost_API;200;1;510918
512374;injob;from_BetaPost_API;200;1;512374
512567;injob;from_BetaPost_API;200;1;512567
514939;injob;from_BetaPost_API;200;1;514939
513046;injob;from_BetaPost_API;200;1;513046
515034;injob;from_BetaPost_API;200;1;515034
514761;injob;from_BetaPost_API;200;1;514761
515434;injob;from_BetaPost_API;200;1;515434
517476;injob;from_BetaPost_API;200;1;517476
520911;injob;from_BetaPost_API;200;1;520911
521200;injob;from_BetaPost_API;200;1;521200
523381;injob;from_BetaPost_API;200;1;523381
526963;injob;from_BetaPost_API;200;1;526963
523990;injob;from_BetaPost_API;200;1;523990
523716;injob;from_BetaPost_API;200;1;523716
523969;injob;from_BetaPost_API;200;1;523969
523765;injob;from_BetaPost_API;200;1;523765
529125;injob;from_BetaPost_API;200;1;529125
529010;injob;from_BetaPost_API;200;1;529010
529836;injob;from_BetaPost_API;200;1;529836
528165;injob;from_BetaPost_API;200;1;528165
529726;injob;from_BetaPost_API;200;1;529726
529295;injob;from_BetaPost_API;200;1;529295
517293;injob;from_BetaPost_API;200;1;517293
524787;injob;from_BetaPost_API;200;1;524787
508186;injob;from_BetaPost_API;200;1;508186
530928;injob;from_BetaPost_API;200;1;530928
531830;parcel-on-a-place;from_BetaPost_API;2016-09-05;200;1;531830
532844;injob;from_BetaPost_API;200;1;532844
532307;injob;from_BetaPost_API;200;1;532307
531781;parcel-on-a-place;from_BetaPost_API;2016-09-05;200;1;531781
532686;injob;from_BetaPost_API;200;1;532686
