order_id;order_site;mapping_order_status_from;mapping_order_status_to;date_time;order_number;order_status_name;shipping_order_order_id;state;order_customFields_nomer_otpravleniya
579856;vari-cream-com;parcel-on-a-place;delivered;"2016-10-27 18:58:00";579856A;"Товар в точке получения";579856-579856A_550;Вручение;CB016567730RU
590860;joint-cream;sent;parcel-on-a-place;"2016-10-27 13:20:00";590860C;Отправлен;590860-590860C_562;"Прибыло в город назначения";CB016568050RU
589863;vari-cream-com;parcel-on-a-place;delivered;"2016-10-28 11:33:00";589863A;"Товар в точке получения";589863-589863A_562;Вручение;CB016568094RU
588608;wrinkles-cream;parcel-on-a-place;delivered;"2016-10-27 13:26:00";588608A;"Товар в точке получения";588608-588608A_562;Вручение;CB016568222RU
