order_id;order_site;mapping_order_status_from;mapping_order_status_to;date_time;order_number;order_status_name;shipping_order_order_id;state;order_customFields_nomer_otpravleniya
464491;vari-cream-com;parcel-on-a-place;delivered;"2016-07-26 12:08:00";464491A;"Товар в точке получения";464491-464491A_334;Вручение;CB016547298RU
474695;vari-cream-com;parcel-on-a-place;delivered;"2016-07-26 12:50:13";474695A;"Товар в точке получения";474695-474695A_364;Вручение;32021909
474619;gemor-cream;parcel-on-a-place;delivered;"2016-07-26 13:06:18";474619A;"Товар в точке получения";474619-474619A_364;Вручение;32021907
473487;vari-cream-com;parcel-on-a-place;delivered;"2016-07-26 13:40:08";473487C;"Товар в точке получения";473487-473487C_364;Вручение;32021903
475334;psorias-cream;parcel-on-a-place;injob;"2016-07-26 14:07:25";475334A;"Товар в точке получения";475334-475334A_364;Возврат;32021919
475276;gemor-cream;parcel-on-a-place;injob;"2016-07-26 13:49:19";475276A;"Товар в точке получения";475276-475276A_364;Возврат;32021918
474815;vari-cream-com;parcel-on-a-place;injob;"2016-07-26 12:16:25";474815A;"Товар в точке получения";474815-474815A_364;Возврат;32021913
474744;vari-cream-com;parcel-on-a-place;injob;"2016-07-26 14:17:59";474744A;"Товар в точке получения";474744-474744A_364;Возврат;32021911
473913;vari-cream-com;parcel-on-a-place;injob;"2016-07-26 14:52:57";473913A;"Товар в точке получения";473913-473913A_364;Возврат;32021904
449611;vari-cream-com;parcel-on-a-place;injob;"2016-07-26 14:01:18";449611C;"Товар в точке получения";449611-449611C_364;Возврат;32021899
475064;vari-cream-com;parcel-on-a-place;delivered;"2016-07-26 12:26:34";475064A;"Товар в точке получения";475064-475064A_364;Вручение;32021916
476216;gemor-cream;sent;delivered;"2016-07-26 13:05:43";476216A;Отправлен;476216-476216A_368;Вручение;32021946
475836;joint-cream;sent;delivered;"2016-07-26 12:36:11";475836A;Отправлен;475836-475836A_368;Вручение;32021938
475545;wrinkles-cream;sent;delivered;"2016-07-26 12:02:08";475545A;Отправлен;475545-475545A_368;Вручение;32021930
478957;vari-cream-com;sent;injob;"2016-07-26 13:21:46";478957A;Отправлен;478957-478957A_368;Возврат;32022017
478714;gemor-cream;sent;injob;"2016-07-26 13:52:30";478714A;Отправлен;478714-478714A_368;Возврат;32022009
478506;vari-cream-com;sent;injob;"2016-07-26 13:49:33";478506A;Отправлен;478506-478506A_368;Возврат;32022007
478071;joint-cream;sent;injob;"2016-07-26 13:29:02";478071A;Отправлен;478071-478071A_368;Возврат;32021997
478056;vari-cream-com;sent;injob;"2016-07-26 14:40:08";478056A;Отправлен;478056-478056A_368;Возврат;32021995
477954;joint-cream;sent;injob;"2016-07-26 12:32:28";477954A;Отправлен;477954-477954A_368;Возврат;32021993
477774;vari-cream-com;sent;injob;"2016-07-26 13:40:40";477774A;Отправлен;477774-477774A_368;Возврат;32021991
476685;psorias-cream;sent;injob;"2016-07-26 14:30:27";476685A;Отправлен;476685-476685A_368;Возврат;32021962
477640;gemor-cream;sent;injob;"2016-07-26 13:54:40";477640A;Отправлен;477640-477640A_368;Возврат;32021986
478970;gemor-cream;sent;delivered;"2016-07-26 13:16:59";478970C;Отправлен;478970-478970C_368;Вручение;32022018
476669;vari-cream-com;sent;injob;"2016-07-26 13:12:36";476669A;Отправлен;476669-476669A_368;Возврат;32021960
476704;vari-cream-com;sent;delivered;"2016-07-26 14:14:28";476704A;Отправлен;476704-476704A_368;Вручение;32021964
477583;vari-cream-com;sent;injob;"2016-07-26 10:46:39";477583A;Отправлен;477583-477583A_368;Возврат;32021985
478038;vari-cream-com;sent;delivered;"2016-07-26 13:06:46";478038A;Отправлен;478038-478038A_368;Вручение;32021994
476487;joint-cream;sent;injob;"2016-07-26 14:54:05";476487A;Отправлен;476487-476487A_368;Возврат;32021955
477312;vari-cream-com;sent;delivered;"2016-07-26 14:01:55";477312A;Отправлен;477312-477312A_368;Вручение;32021981
475702;gemor-cream;sent;injob;"2016-07-26 14:08:54";475702A;Отправлен;475702-475702A_368;Возврат;32021935
476690;prosta-cream;sent;delivered;"2016-07-26 13:03:02";476690A;Отправлен;476690-476690A_368;Вручение;32021963
476773;wrinkles-cream;sent;delivered;"2016-07-26 14:51:31";476773A;Отправлен;476773-476773A_368;Вручение;32021968
475592;vari-cream-com;sent;injob;"2016-07-26 13:37:30";475592A;Отправлен;475592-475592A_368;Возврат;32021931
476682;vari-cream-com;sent;delivered;"2016-07-26 12:50:37";476682A;Отправлен;476682-476682A_368;Вручение;32021961
476718;joint-cream;sent;delivered;"2016-07-26 13:48:56";476718A;Отправлен;476718-476718A_368;Вручение;32021966
457161;wrinkles-cream;sent;injob;"2016-07-26 13:31:25";457161A;Отправлен;457161-457161A_368;Возврат;32021923
476305;vari-cream-com;sent;delivered;"2016-07-26 12:38:42";476305A;Отправлен;476305-476305A_368;Вручение;32021949
476707;gemor-cream;sent;delivered;"2016-07-26 13:05:29";476707A;Отправлен;476707-476707A_368;Вручение;32021965
476264;vari-cream-com;sent;delivered;"2016-07-26 13:34:21";476264A;Отправлен;476264-476264A_368;Вручение;32021947
