id;status;api_mark;statusCode;success;set_order_id
482529;injob;from_BetaPost_API;200;1;482529
483614;delivered;from_BetaPost_API;2016-07-30;200;1;483614
478821;injob;from_BetaPost_API;200;1;478821
482648;delivered;from_BetaPost_API;2016-07-30;200;1;482648
483718;injob;from_BetaPost_API;200;1;483718
483600;injob;from_BetaPost_API;200;1;483600
483409;injob;from_BetaPost_API;200;1;483409
483408;injob;from_BetaPost_API;200;1;483408
483392;injob;from_BetaPost_API;200;1;483392
483356;injob;from_BetaPost_API;200;1;483356
483353;injob;from_BetaPost_API;200;1;483353
483151;injob;from_BetaPost_API;200;1;483151
483000;injob;from_BetaPost_API;200;1;483000
482878;injob;from_BetaPost_API;200;1;482878
482674;injob;from_BetaPost_API;200;1;482674
482639;injob;from_BetaPost_API;200;1;482639
482567;injob;from_BetaPost_API;200;1;482567
