order_id;order_site;mapping_order_status_from;mapping_order_status_to;date_time;order_number;order_status_name;shipping_order_order_id;state;order_customFields_nomer_otpravleniya
448700;joint-cream;parcel-on-a-place;delivered;"2016-07-21 17:42:00";448700A;"Товар в точке получения";448700-448700A_308;Вручение;CB016542517RU
456909;joint-cream;parcel-on-a-place;delivered;"2016-07-21 16:47:00";456909A;"Товар в точке получения";456909-456909A_313;Вручение;CB016544212RU
462221;psorias-cream;parcel-on-a-place;delivered;"2016-07-21 10:12:00";462221A;"Товар в точке получения";462221-462221A_327;Вручение;CB016546227RU
461295;vari-cream-com;parcel-on-a-place;delivered;"2016-07-21 17:35:00";461295A;"Товар в точке получения";461295-461295A_327;Вручение;CB016546037RU
461403;joint-cream;parcel-on-a-place;injob;"2016-07-22 11:35:40";461403A;"Товар в точке получения";461403-461403A_328;Возврат;32021469
462822;gemor-cream;parcel-on-a-place;delivered;"2016-07-21 14:11:00";462822A;"Товар в точке получения";462822-462822A_330;Вручение;CB016546964RU
461045;prosta-cream;parcel-on-a-place;delivered;"2016-07-21 17:53:00";461045A;"Товар в точке получения";461045-461045A_330;Вручение;CB016547077RU
470472;cream-masthopaty;parcel-on-a-place;delivered;"2016-07-22 12:25:36";470472A;"Товар в точке получения";470472-470472A_347;Вручение;32021766
473312;psorias-cream;parcel-on-a-place;injob;"2016-07-22 10:25:08";473312C;"Товар в точке получения";473312-473312C_357;Возврат;32021858
472689;wrinkles-cream;sent;injob;"2016-07-22 10:37:41";472689A;Отправлен;472689-472689A_357;Возврат;32021847
472674;vari-cream-com;sent;injob;"2016-07-22 10:25:25";472674A;Отправлен;472674-472674A_357;Возврат;32021845
473392;vari-cream-com;parcel-on-a-place;delivered;"2016-07-22 12:02:31";473392A;"Товар в точке получения";473392-473392A_357;Вручение;32021859
473297;wrinkles-cream;parcel-on-a-place;delivered;"2016-07-22 12:24:01";473297A;"Товар в точке получения";473297-473297A_357;Вручение;32021857
473280;cream-masthopaty;parcel-on-a-place;delivered;"2016-07-22 10:53:49";473280A;"Товар в точке получения";473280-473280A_357;Вручение;32021856
473272;vari-cream-com;sent;delivered;"2016-07-22 11:36:38";473272C;Отправлен;473272-473272C_357;Вручение;32021855
472989;vari-cream-com;sent;delivered;"2016-07-22 12:02:53";472989A;Отправлен;472989-472989A_357;Вручение;32021852
472672;vari-cream-com;sent;delivered;"2016-07-22 12:35:55";472672A;Отправлен;472672-472672A_357;Вручение;32021844
472654;joint-cream;sent;delivered;"2016-07-22 10:02:07";472654A;Отправлен;472654-472654A_357;Вручение;32021843
472363;wrinkles-cream;sent;delivered;"2016-07-22 12:22:28";472363A;Отправлен;472363-472363A_357;Вручение;32021840
471883;gemor-cream;sent;delivered;"2016-07-22 12:39:36";471883A;Отправлен;471883-471883A_357;Вручение;32021835
472683;vari-cream-com;sent;injob;"2016-07-22 11:44:45";472683A;Отправлен;472683-472683A_360;Возврат;32021866
474440;vari-cream-com;sent;injob;"2016-07-22 10:55:44";474440A;Отправлен;474440-474440A_360;Возврат;32021895
473699;joint-cream;sent;delivered;"2016-07-22 12:09:56";473699A;Отправлен;473699-473699A_360;Вручение;32021880
459807;prosta-cream;sent;delivered;"2016-07-22 11:00:14";459807A;Отправлен;459807-459807A_360;Вручение;32021860
474427;wrinkles-cream;sent;injob;"2016-07-22 10:32:31";474427A;Отправлен;474427-474427A_360;Возврат;32021893
474276;wrinkles-cream;sent;injob;"2016-07-22 13:00:45";474276A;Отправлен;474276-474276A_360;Возврат;32021888
474195;gemor-cream;sent;injob;"2016-07-22 12:54:27";474195A;Отправлен;474195-474195A_360;Возврат;32021887
473827;joint-cream;sent;injob;"2016-07-22 11:32:08";473827A;Отправлен;473827-473827A_360;Возврат;32021882
473533;vari-cream-com;sent;injob;"2016-07-22 12:37:51";473533A;Отправлен;473533-473533A_360;Возврат;32021874
473476;wrinkles-cream;sent;injob;"2016-07-22 12:11:10";473476A;Отправлен;473476-473476A_360;Возврат;32021872
