id;status;api_mark;date_of_delivery;statusCode;success;set_order_id
445876;delivered;from_BetaPost_API;2016-07-13;200;1;445876
445662;delivered;from_BetaPost_API;2016-07-13;200;1;445662
448543;delivered;from_BetaPost_API;2016-07-13;200;1;448543
448523;delivered;from_BetaPost_API;2016-07-13;200;1;448523
447560;delivered;from_BetaPost_API;2016-07-13;200;1;447560
446714;delivered;from_BetaPost_API;2016-07-13;200;1;446714
450987;parcel-on-a-place;from_BetaPost_API;2016-07-13;200;1;450987
450516;parcel-on-a-place;from_BetaPost_API;2016-07-13;200;1;450516
448331;delivered;from_BetaPost_API;2016-07-13;200;1;448331
449541;parcel-on-a-place;from_BetaPost_API;2016-07-13;200;1;449541
451634;parcel-on-a-place;from_BetaPost_API;2016-07-12;200;1;451634
446494;parcel-on-a-place;from_BetaPost_API;2016-07-13;200;1;446494
452434;delivered;from_BetaPost_API;2016-07-13;200;1;452434
452175;delivered;from_BetaPost_API;2016-07-13;200;1;452175
451601;delivered;from_BetaPost_API;2016-07-13;200;1;451601
451725;parcel-on-a-place;from_BetaPost_API;2016-07-13;200;1;451725
451647;parcel-on-a-place;from_BetaPost_API;2016-07-13;200;1;451647
452796;parcel-on-a-place;from_BetaPost_API;2016-07-13;200;1;452796
455987;parcel-on-a-place;from_BetaPost_API;2016-07-13;200;1;455987
455662;parcel-on-a-place;from_BetaPost_API;2016-07-13;200;1;455662
455460;parcel-on-a-place;from_BetaPost_API;2016-07-13;200;1;455460
454589;parcel-on-a-place;from_BetaPost_API;2016-07-13;200;1;454589
454558;parcel-on-a-place;from_BetaPost_API;2016-07-12;200;1;454558
453697;parcel-on-a-place;from_BetaPost_API;2016-07-12;200;1;453697
455643;parcel-on-a-place;from_BetaPost_API;2016-07-13;200;1;455643
454862;delivered;from_BetaPost_API;2016-07-13;200;1;454862
454177;parcel-on-a-place;from_BetaPost_API;2016-07-13;200;1;454177
452955;parcel-on-a-place;from_BetaPost_API;2016-07-13;200;1;452955
452482;parcel-on-a-place;from_BetaPost_API;2016-07-13;200;1;452482
454417;parcel-on-a-place;from_BetaPost_API;2016-07-13;200;1;454417
456935;parcel-on-a-place;from_BetaPost_API;2016-07-13;200;1;456935
456529;parcel-on-a-place;from_BetaPost_API;2016-07-13;200;1;456529
456268;parcel-on-a-place;from_BetaPost_API;2016-07-13;200;1;456268
458057;delivered;from_BetaPost_API;2016-07-13;200;1;458057
456972;parcel-on-a-place;from_BetaPost_API;2016-07-13;200;1;456972
461276;delivered;from_BetaPost_API;2016-07-13;200;1;461276
463147;delivered;from_BetaPost_API;2016-07-13;200;1;463147
463101;delivered;from_BetaPost_API;2016-07-13;200;1;463101
461124;delivered;from_BetaPost_API;2016-07-13;200;1;461124
462922;delivered;from_BetaPost_API;2016-07-13;200;1;462922
461115;delivered;from_BetaPost_API;2016-07-13;200;1;461115
462911;delivered;from_BetaPost_API;2016-07-13;200;1;462911
460981;delivered;from_BetaPost_API;2016-07-13;200;1;460981
460851;delivered;from_BetaPost_API;2016-07-13;200;1;460851
462850;delivered;from_BetaPost_API;2016-07-13;200;1;462850
462884;injob;from_BetaPost_API;200;1;462884
462789;delivered;from_BetaPost_API;2016-07-13;200;1;462789
462345;injob;from_BetaPost_API;200;1;462345
462777;delivered;from_BetaPost_API;2016-07-13;200;1;462777
461986;injob;from_BetaPost_API;200;1;461986
461642;parcel-on-a-place;from_BetaPost_API;2016-07-13;200;1;461642
462771;delivered;from_BetaPost_API;2016-07-13;200;1;462771
429473;injob;from_BetaPost_API;200;1;429473
463750;delivered;from_BetaPost_API;2016-07-13;200;1;463750
462670;delivered;from_BetaPost_API;2016-07-13;200;1;462670
462363;delivered;from_BetaPost_API;2016-07-13;200;1;462363
462272;delivered;from_BetaPost_API;2016-07-13;200;1;462272
461891;delivered;from_BetaPost_API;2016-07-13;200;1;461891
462161;delivered;from_BetaPost_API;2016-07-13;200;1;462161
461644;delivered;from_BetaPost_API;2016-07-13;200;1;461644
462033;delivered;from_BetaPost_API;2016-07-13;200;1;462033
461618;delivered;from_BetaPost_API;2016-07-13;200;1;461618
461454;delivered;from_BetaPost_API;2016-07-13;200;1;461454
461404;delivered;from_BetaPost_API;2016-07-13;200;1;461404
