id;status;api_mark;date_of_delivery;statusCode;success;set_order_id
505948;delivered;from_BetaPost_API;2016-09-06;200;1;505948
511795;delivered;from_BetaPost_API;2016-09-06;200;1;511795
512509;delivered;from_BetaPost_API;2016-09-06;200;1;512509
513425;delivered;from_BetaPost_API;2016-09-06;200;1;513425
526614;delivered;from_BetaPost_API;2016-09-06;200;1;526614
534483;delivered;from_BetaPost_API;2016-09-06;200;1;534483
535497;delivered;from_BetaPost_API;2016-09-06;200;1;535497
534815;delivered;from_BetaPost_API;2016-09-06;200;1;534815
535464;delivered;from_BetaPost_API;2016-09-06;200;1;535464
533532;delivered;from_BetaPost_API;2016-09-06;200;1;533532
526091;delivered;from_BetaPost_API;2016-09-06;200;1;526091
535893;delivered;from_BetaPost_API;2016-09-06;200;1;535893
535083;delivered;from_BetaPost_API;2016-09-06;200;1;535083
534191;delivered;from_BetaPost_API;2016-09-06;200;1;534191
536274;delivered;from_BetaPost_API;2016-09-06;200;1;536274
534536;delivered;from_BetaPost_API;2016-09-06;200;1;534536
535562;delivered;from_BetaPost_API;2016-09-06;200;1;535562
535437;delivered;from_BetaPost_API;2016-09-06;200;1;535437
530217;delivered;from_BetaPost_API;2016-09-06;200;1;530217
534424;delivered;from_BetaPost_API;2016-09-06;200;1;534424
536261;delivered;from_BetaPost_API;2016-09-06;200;1;536261
534806;delivered;from_BetaPost_API;2016-09-06;200;1;534806
534683;delivered;from_BetaPost_API;2016-09-06;200;1;534683
533499;delivered;from_BetaPost_API;2016-09-06;200;1;533499
533340;parcel-on-a-place;from_BetaPost_API;2016-09-06;200;1;533340
536271;delivered;from_BetaPost_API;2016-09-06;200;1;536271
535243;delivered;from_BetaPost_API;2016-09-06;200;1;535243
535409;parcel-on-a-place;from_BetaPost_API;2016-09-06;200;1;535409
535295;parcel-on-a-place;from_BetaPost_API;2016-09-06;200;1;535295
533714;parcel-on-a-place;from_BetaPost_API;2016-09-06;200;1;533714
534667;delivered;from_BetaPost_API;2016-09-06;200;1;534667
534789;parcel-on-a-place;from_BetaPost_API;2016-09-06;200;1;534789
532615;parcel-on-a-place;from_BetaPost_API;2016-09-06;200;1;532615
535444;delivered;from_BetaPost_API;2016-09-06;200;1;535444
535070;delivered;from_BetaPost_API;2016-09-06;200;1;535070
