order_id;order_site;mapping_order_status_from;mapping_order_status_to;date_time;order_number;order_status_name;shipping_order_order_id;state;order_customFields_nomer_otpravleniya
617855;fungus-cream;parcel-on-a-place;delivered;"2016-11-22 09:18:00";617855A;"Товар в точке получения";617855-617855A_606;Вручение;CB016569347RU
629055;gemor-cream;sent;parcel-on-a-place;"2016-11-22 08:24:00";629055A;Отправлен;629055-629055A_621;"Прибыло в город назначения";CB016569850RU
635715;psorias-cream;sent;delivered;"2016-11-22 12:05:04";635715A;Отправлен;635715-635715A_637;Вручение;32024820
636586;joint-cream;sent;parcel-on-a-place;"2016-11-22 11:18:27";636586A;Отправлен;636586-636586A_637;Невручение;32024822
