order_id;order_site;mapping_order_status_from;mapping_order_status_to;date_time;order_number;order_status_name;shipping_order_order_id;state;order_customFields_nomer_otpravleniya
504977;gemor-cream;problem;delivered;"2016-08-31 09:23:38";504977A;Доставлять;504977-504977A_440;Вручение;32023143
518333;joint-cream;parcel-on-a-place;delivered;"2016-08-31 09:18:08";518333A;"Товар в точке получения";518333-518333A_454;Вручение;32023380
521491;vari-cream-com;parcel-on-a-place;delivered;"2016-08-31 11:27:36";521491C;"Товар в точке получения";521491-521491C_454;Вручение;32023390
527965;joint-cream;sent;delivered;"2016-08-31 10:31:39";527965A;Отправлен;527965-527965A_457;Вручение;32023503
524009;joint-cream;parcel-on-a-place;delivered;"2016-08-30 23:00:00";524009A;"Товар в точке получения";524009-524009A_457;Вручение;32023435
523397;joint-cream;sent;delivered;"2016-08-30 23:00:00";523397A;Отправлен;523397-523397A_457;Вручение;32023421
522581;vari-cream-com;sent;delivered;"2016-08-30 23:00:00";522581A;Отправлен;522581-522581A_457;Вручение;32023416
528085;wrinkles-cream;sent;parcel-on-a-place;"2016-08-31 10:29:03";528085A;Отправлен;528085-528085A_460;Невручение;32023509
528693;joint-cream;sent;delivered;"2016-08-31 11:37:22";528693A;Отправлен;528693-528693A_460;Вручение;32023518
529445;vari-cream-com;sent;parcel-on-a-place;"2016-08-31 11:05:57";529445A;Отправлен;529445-529445A_460;Невручение;32023532
529621;joint-cream;sent;delivered;"2016-08-31 10:27:41";529621A;Отправлен;529621-529621A_460;Вручение;32023534
529788;joint-cream;sent;delivered;"2016-08-31 09:42:05";529788A;Отправлен;529788-529788A_460;Вручение;32023541
529428;joint-cream;sent;delivered;"2016-08-31 10:18:08";529428A;Отправлен;529428-529428A_460;Вручение;32023530
529713;joint-cream;sent;delivered;"2016-08-31 10:18:49";529713A;Отправлен;529713-529713A_460;Вручение;32023537
528165;joint-cream;sent;parcel-on-a-place;"2016-08-31 10:18:05";528165A;Отправлен;528165-528165A_460;Невручение;32023512
529330;psorias-cream;sent;delivered;"2016-08-31 10:37:24";529330A;Отправлен;529330-529330A_460;Вручение;32023528
529773;joint-cream;sent;parcel-on-a-place;"2016-08-31 10:43:17";529773A;Отправлен;529773-529773A_460;Невручение;32023540
529709;joint-cream;sent;delivered;"2016-08-31 11:25:50";529709A;Отправлен;529709-529709A_460;Вручение;32023536
529726;wrinkles-cream;sent;parcel-on-a-place;"2016-08-31 09:14:55";529726A;Отправлен;529726-529726A_460;Невручение;32023538
528125;gemor-cream;sent;delivered;"2016-08-31 11:41:18";528125A;Отправлен;528125-528125A_460;Вручение;32023511
529010;joint-cream;sent;parcel-on-a-place;"2016-08-31 09:30:35";529010A;Отправлен;529010-529010A_460;Невручение;32023520
