id;status;api_mark;date_of_delivery;statusCode;success;set_order_id
420291;delivered;from_BetaPost_API;2016-07-06;200;1;420291
427816;delivered;from_BetaPost_API;2016-07-06;200;1;427816
432678;delivered;from_BetaPost_API;2016-07-06;200;1;432678
431677;delivered;from_BetaPost_API;2016-07-06;200;1;431677
436802;delivered;from_BetaPost_API;2016-07-06;200;1;436802
435713;delivered;from_BetaPost_API;2016-07-06;200;1;435713
438008;delivered;from_BetaPost_API;2016-07-06;200;1;438008
441217;delivered;from_BetaPost_API;2016-07-06;200;1;441217
442106;delivered;from_BetaPost_API;2016-07-06;200;1;442106
441051;delivered;from_BetaPost_API;2016-07-06;200;1;441051
443140;delivered;from_BetaPost_API;2016-07-04;200;1;443140
443055;delivered;from_BetaPost_API;2016-07-06;200;1;443055
445922;delivered;from_BetaPost_API;2016-07-06;200;1;445922
445265;delivered;from_BetaPost_API;2016-07-06;200;1;445265
446318;delivered;from_BetaPost_API;2016-07-06;200;1;446318
