order_id;order_site;mapping_order_status_from;mapping_order_status_to;date_time;order_number;order_status_name;shipping_order_order_id;state;order_customFields_nomer_otpravleniya
398890;gemor-cream;parcel-on-a-place;delivered;"2016-06-17 23:21:00";398890A;"Товар в точке получения";398890-398890A_205;Вручение;CB014095215RU
411552;vari-cream-com;parcel-on-a-place;delivered;"2016-06-17 23:55:00";411552A;"Товар в точке получения";411552-411552A_235;Вручение;CB014099929RU
421645;vari-cream-com;sent;parcel-on-a-place;"2016-06-17 22:56:00";421645A;Отправлен;421645-421645A_256;Невручение;CB014102764RU
422603;vari-cream-com;sent;delivered;"2016-06-17 21:48:00";422603A;Отправлен;422603-422603A_256;Вручение;CB014103433RU
424453;vari-cream-com;parcel-on-a-place;delivered;"2016-06-17 21:15:00";424453A;"Товар в точке получения";424453-424453A_259;Вручение;CB014103892RU
