id;status;api_mark;date_of_arrival;statusCode;success;set_order_id
556489;parcel-on-a-place;from_BetaPost_API;2016-09-23;200;1;556489
556402;parcel-on-a-place;from_BetaPost_API;2016-09-23;200;1;556402
556538;delivered;from_BetaPost_API;2016-09-23;200;1;556538
556608;delivered;from_BetaPost_API;2016-09-23;200;1;556608
557506;parcel-on-a-place;from_BetaPost_API;2016-09-23;200;1;557506
556698;parcel-on-a-place;from_BetaPost_API;2016-09-23;200;1;556698
557040;parcel-on-a-place;from_BetaPost_API;2016-09-23;200;1;557040
