id;status;api_mark;date_of_delivery;statusCode;success;set_order_id
586695;delivered;from_BetaPost_API;2016-10-26;200;1;586695
590569;parcel-on-a-place;from_BetaPost_API;2016-10-27;200;1;590569
589118;parcel-on-a-place;from_BetaPost_API;2016-10-26;200;1;589118
589863;parcel-on-a-place;from_BetaPost_API;2016-10-27;200;1;589863
588608;parcel-on-a-place;from_BetaPost_API;2016-10-26;200;1;588608
589697;parcel-on-a-place;from_BetaPost_API;2016-10-26;200;1;589697
590352;parcel-on-a-place;from_BetaPost_API;2016-10-26;200;1;590352
