order_id;order_site;mapping_order_status_from;mapping_order_status_to;date_time;order_number;order_status_name;shipping_order_order_id;state;order_customFields_nomer_otpravleniya
662970;vari-cream-com;parcel-on-a-place;delivered;"2017-01-10 15:44:00";662970A;"Товар в точке получения";662970-662970A_678;Вручение;CB016571116RU
691183;zdorov-cream;parcel-on-a-place;delivered;"2017-01-10 18:43:57";691183A;"Товар в точке получения";691183-691183A_708;Вручение;32024888
695223;joint-cream;parcel-on-a-place;delivered;"2017-01-10 18:00:00";695223A;"Товар в точке получения";695223-695223A_713;Вручение;32024944
697754;vari-cream-com;sent;delivered;"2017-01-10 15:23:50";697754A;Отправлен;697754-697754A_714;Вручение;32024990
693431;joint-cream;sent;delivered;"2017-01-10 17:58:49";693431A;Отправлен;693431-693431A_714;Вручение;32024964
694776;joint-cream;sent;parcel-on-a-place;"2017-01-11 10:00:00";694776A;Отправлен;694776-694776A_713;"Прибыло в город назначения";32024938
696132;joint-cream;sent;delivered;"2017-01-10 16:13:04";696132A;Отправлен;696132-696132A_714;Вручение;32024981
695097;fungus-cream;sent;delivered;"2017-01-10 19:08:27";695097A;Отправлен;695097-695097A_713;Вручение;32024940
693666;joint-cream;sent;delivered;"2017-01-10 16:14:11";693666A;Отправлен;693666-693666A_714;Вручение;32024966
699736;joint-cream;sent;delivered;"2017-01-10 18:28:06";699736A;Отправлен;699736-699736A_719;Вручение;32025024
698829;joint-cream;parcel-on-a-place;delivered;"2017-01-10 16:46:35";698829A;"Товар в точке получения";698829-698829A_719;Вручение;32025013
696419;gemor-cream;sent;parcel-on-a-place;"2017-01-10 09:07:51";696419A;Отправлен;696419-696419A_719;Невручение;32025002
699477;vari-cream-com;sent;delivered;"2017-01-10 19:03:03";699477A;Отправлен;699477-699477A_719;Вручение;32025019
701782;fungus-cream;sent;delivered;"2017-01-10 19:05:53";701782A;Отправлен;701782-701782A_719;Вручение;32025054
698373;joint-cream;sent;delivered;"2017-01-10 18:22:22";698373A;Отправлен;698373-698373A_719;Вручение;32025006
689710;joint-cream;sent;delivered;"2017-01-10 12:58:41";689710A;Отправлен;689710-689710A_719;Вручение;32025000
697257;joint-cream;sent;delivered;"2017-01-10 16:17:02";697257A;Отправлен;697257-697257A_719;Вручение;32025003
698428;gemor-cream;sent;delivered;"2017-01-10 17:52:14";698428A;Отправлен;698428-698428A_719;Вручение;32025007
