order_id;order_site;mapping_order_status_from;mapping_order_status_to;date_time;order_number;order_status_name;shipping_order_order_id;state;order_customFields_nomer_otpravleniya
470289;psorias-cream;parcel-on-a-place;delivered;"2016-07-31 16:33:00";470289A;"Товар в точке получения";470289-470289A_345;Вручение;CB016548333RU
469936;vari-cream-com;parcel-on-a-place;delivered;"2016-07-31 16:33:00";469936A;"Товар в точке получения";469936-469936A_345;Вручение;CB016548982RU
475010;vari-cream-com;sent;parcel-on-a-place;"2016-07-31 12:46:00";475010A;Отправлен;475010-475010A_362;Невручение;CB016550439RU
477264;cellulite-cream;sent;parcel-on-a-place;"2016-07-31 12:44:00";477264A;Отправлен;477264-477264A_366;Невручение;CB016550822RU
476578;fungus-cream;sent;parcel-on-a-place;"2016-07-31 14:13:00";476578A;Отправлен;476578-476578A_366;Невручение;CB016551301RU
476536;vari-cream-com;sent;parcel-on-a-place;"2016-07-31 14:38:00";476536A;Отправлен;476536-476536A_366;Невручение;CB016551448RU
476254;vari-cream-com;sent;parcel-on-a-place;"2016-07-31 16:45:00";476254A;Отправлен;476254-476254A_366;Невручение;CB016550796RU
478033;joint-cream;sent;parcel-on-a-place;"2016-07-31 12:44:00";478033A;Отправлен;478033-478033A_366;Невручение;CB016550615RU
477438;vari-cream-com;sent;parcel-on-a-place;"2016-07-31 11:53:00";477438A;Отправлен;477438-477438A_366;Невручение;CB016551394RU
477286;vari-cream-com;sent;parcel-on-a-place;"2016-07-31 11:56:00";477286A;Отправлен;477286-477286A_366;Невручение;CB016550765RU
