order_id;order_site;mapping_order_status_from;mapping_order_status_to;date_time;order_number;order_status_name;shipping_order_order_id;state;order_customFields_nomer_otpravleniya
411533;cream-masthopaty;sent;delivered;"2016-06-18 22:21:00";411533A;Отправлен;411533-411533A_247;Вручение;CB014101945RU
422212;psorias-cream;parcel-on-a-place;delivered;"2016-06-18 21:04:00";422212A;"Товар в точке получения";422212-422212A_256;Вручение;CB014103305RU
423391;vari-cream-com;sent;delivered;"2016-06-18 20:08:00";423391A;Отправлен;423391-423391A_256;Вручение;CB014103288RU
426532;psorias-cream;sent;parcel-on-a-place;"2016-06-18 20:16:00";426532A;Отправлен;426532-426532A_265;Невручение;CB014104765RU
427386;vari-cream-com;sent;parcel-on-a-place;"2016-06-18 22:51:00";427386A;Отправлен;427386-427386A_268;Невручение;CB014104840RU
426778;gemor-cream;sent;parcel-on-a-place;"2016-06-18 21:15:00";426778A;Отправлен;426778-426778A_268;Невручение;CB014104969RU
