order_id;order_site;mapping_order_status_from;mapping_order_status_to;date_time;order_number;order_status_name;shipping_order_order_id;state;order_customFields_nomer_otpravleniya
515600;vari-cream-com;parcel-on-a-place;delivered;"2016-08-25 11:36:36";515600A;"Товар в точке получения";515600-515600A_440;Вручение;32023221
513830;vari-cream-com;parcel-on-a-place;delivered;"2016-08-25 11:02:48";513830A;"Товар в точке получения";513830-513830A_440;Вручение;32023177
504977;gemor-cream;sent;parcel-on-a-place;"2016-08-25 10:55:26";504977A;Отправлен;504977-504977A_440;Невручение;32023143
514002;wrinkles-cream;sent;parcel-on-a-place;"2016-08-25 09:10:23";514002A;Отправлен;514002-514002A_440;Невручение;32023181
516052;joint-cream;parcel-on-a-place;delivered;"2016-08-25 09:57:40";516052A;"Товар в точке получения";516052-516052A_444;Вручение;32023246
519109;vari-cream-com;sent;parcel-on-a-place;"2016-08-25 10:43:29";519109A;Отправлен;519109-519109A_447;Невручение;32023317
517476;joint-cream;sent;parcel-on-a-place;"2016-08-25 09:39:16";517476A;Отправлен;517476-517476A_447;Невручение;32023296
518378;vari-cream-com;sent;parcel-on-a-place;"2016-08-25 10:06:54";518378A;Отправлен;518378-518378A_447;Невручение;32023309
517571;cream-masthopaty;sent;parcel-on-a-place;"2016-08-25 09:04:33";517571A;Отправлен;517571-517571A_447;Невручение;32023299
517519;prosta-cream;sent;parcel-on-a-place;"2016-08-25 10:10:57";517519A;Отправлен;517519-517519A_447;Невручение;32023297
519257;joint-cream;sent;parcel-on-a-place;"2016-08-25 10:17:14";519257A;Отправлен;519257-519257A_447;Невручение;32023321
518298;joint-cream;sent;delivered;"2016-08-25 10:49:14";518298A;Отправлен;518298-518298A_447;Вручение;32023308
516576;vari-cream-com;sent;parcel-on-a-place;"2016-08-25 09:10:20";516576A;Отправлен;516576-516576A_447;Невручение;32023287
519284;joint-cream;sent;delivered;"2016-08-25 10:50:56";519284A;Отправлен;519284-519284A_447;Вручение;32023322
517302;psorias-cream;sent;delivered;"2016-08-25 10:16:10";517302A;Отправлен;517302-517302A_447;Вручение;32023289
518020;vari-cream-com;sent;delivered;"2016-08-25 11:20:14";518020A;Отправлен;518020-518020A_447;Вручение;32023302
519186;vari-cream-com;sent;delivered;"2016-08-25 11:15:19";519186A;Отправлен;519186-519186A_447;Вручение;32023320
516467;vari-cream-com;sent;delivered;"2016-08-25 10:59:39";516467A;Отправлен;516467-516467A_447;Вручение;32023286
518535;joint-cream;sent;delivered;"2016-08-25 10:37:04";518535A;Отправлен;518535-518535A_447;Вручение;32023311
518858;joint-cream;sent;delivered;"2016-08-25 10:32:14";518858A;Отправлен;518858-518858A_447;Вручение;32023314
517435;vari-cream-com;sent;delivered;"2016-08-25 10:54:16";517435A;Отправлен;517435-517435A_447;Вручение;32023295
519139;joint-cream;sent;delivered;"2016-08-25 10:16:20";519139A;Отправлен;519139-519139A_447;Вручение;32023319
