order_id;order_site;mapping_order_status_from;mapping_order_status_to;date_time;order_number;order_status_name;shipping_order_order_id;state;order_customFields_nomer_otpravleniya
550821;vari-cream-com;parcel-on-a-place;delivered;"2016-09-28 10:44:00";550821A;"Товар в точке получения";550821-550821A_500;Вручение;CB016565889RU
552712;vari-cream-com;parcel-on-a-place;delivered;"2016-09-27 23:00:00";552712A;"Товар в точке получения";552712-552712A_504;Вручение;32024036
555160;vari-cream-com;parcel-on-a-place;injob;"2016-09-28 12:38:34";555160A;"Товар в точке получения";555160-555160A_506;Возврат;32024053
557622;vari-cream-com;parcel-on-a-place;delivered;"2016-09-28 17:15:31";557622A;"Товар в точке получения";557622-557622A_512;Вручение;32024126
557958;joint-cream;parcel-on-a-place;delivered;"2016-09-28 13:05:27";557958A;"Товар в точке получения";557958-557958A_512;Вручение;32024139
557801;cream-masthopaty;parcel-on-a-place;delivered;"2016-09-28 19:58:04";557801A;"Товар в точке получения";557801-557801A_512;Вручение;32024131
558240;joint-cream;parcel-on-a-place;delivered;"2016-09-28 14:11:46";558240A;"Товар в точке получения";558240-558240A_512;Вручение;32024148
560418;psorias-cream;sent;delivered;"2016-09-28 12:34:40";560418A;Отправлен;560418-560418A_516;Вручение;32024197
561576;gemor-cream;sent;delivered;"2016-09-27 23:00:00";561576A;Отправлен;561576-561576A_516;Вручение;32024232
560106;fungus-cream;parcel-on-a-place;delivered;"2016-09-28 14:24:42";560106A;"Товар в точке получения";560106-560106A_516;Вручение;32024186
559065;prosta-cream;sent;delivered;"2016-09-27 23:00:00";559065A;Отправлен;559065-559065A_516;Вручение;32024165
560356;vari-cream-com;parcel-on-a-place;injob;"2016-09-28 12:38:34";560356A;"Товар в точке получения";560356-560356A_516;Возврат;32024194
560482;gemor-cream;sent;parcel-on-a-place;"2016-09-28 16:40:04";560482A;Отправлен;560482-560482A_516;Невручение;32024202
561691;vari-cream-com;sent;delivered;"2016-09-27 23:00:00";561691A;Отправлен;561691-561691A_516;Вручение;32024237
561152;joint-cream;sent;delivered;"2016-09-28 10:11:06";561152A;Отправлен;561152-561152A_516;Вручение;32024222
